"Id","MSSubClass","MSZoning.RL","MSZoning.RM","LotFrontage","LotArea","LotShape.IR1","LotShape.Reg","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.Inside","Neighborhood.CollgCr","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.NAmes","Neighborhood.NridgHt","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.Somerst","Condition1.Feedr","Condition1.Norm","BldgType.1Fam","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1Story","HouseStyle.2Story","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle.Gable","RoofStyle.Hip","Exterior1st.HdBoard","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.VinylSd","Exterior1st.Wd.Sdng","Exterior2nd.HdBoard","Exterior2nd.MetalSd","Exterior2nd.Plywood","Exterior2nd.VinylSd","Exterior2nd.Wd.Sdng","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","MasVnrArea","ExterQual.Gd","ExterQual.TA","ExterCond.Gd","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","BsmtQual.Ex","BsmtQual.Gd","BsmtQual.TA","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinSF1","BsmtFinType2.Unf","BsmtUnfSF","TotalBsmtSF","HeatingQC.Ex","HeatingQC.Gd","HeatingQC.TA","CentralAir.N","CentralAir.Y","Electrical.FuseA","Electrical.SBrkr","X2ndFlrSF","GrLivArea","BsmtFullBath.0","BsmtFullBath.1","FullBath","HalfBath","BedroomAbvGr","KitchenQual.Ex","KitchenQual.Gd","KitchenQual.TA","TotRmsAbvGrd","Functional.Typ","Fireplaces","FireplaceQu.Gd","FireplaceQu.NONE","FireplaceQu.TA","GarageType.Attchd","GarageType.BuiltIn","GarageType.Detchd","GarageType.NONE","GarageFinish.Fin","GarageFinish.NONE","GarageFinish.RFn","GarageFinish.Unf","GarageCars","GarageQual.NONE","GarageQual.TA","GarageCond.NONE","GarageCond.TA","PavedDrive.N","PavedDrive.Y","WoodDeckSF","MoSold","YrSold","SaleType.New","SaleType.WD","SaleCondition.Abnorml","SaleCondition.Normal","SaleCondition.Partial"
1461,20,0,0,80,11622,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,5,6,1961,1961,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,468,0,270,882,0,0,1,0,1,0,1,0,896,1,0,1,0,2,0,0,1,5,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,140,6,2010,0,1,0,1,0
1462,20,1,0,81,14267,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,6,6,1958,1958,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,108,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,923,1,406,1329,0,0,1,0,1,0,1,0,1329,1,0,1,1,3,0,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,393,6,2010,0,1,0,1,0
1463,60,1,0,74,13830,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,5,5,1997,1998,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,791,1,137,928,0,1,0,0,1,0,1,701,1629,1,0,2,1,3,0,0,1,6,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,212,3,2010,0,1,0,1,0
1464,60,1,0,78,9978,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,6,6,1998,1998,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,20,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,602,1,324,926,1,0,0,0,1,0,1,678,1604,1,0,2,1,3,0,1,0,7,1,1,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,360,6,2010,0,1,0,1,0
1465,120,1,0,43,5005,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,8,5,1992,1992,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,263,1,1017,1280,1,0,0,0,1,0,1,0,1280,1,0,2,0,2,0,1,0,5,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,1,2010,0,1,0,1,0
1466,60,1,0,75,10000,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,6,5,1993,1994,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,763,763,0,1,0,0,1,0,1,892,1655,1,0,2,1,3,0,0,1,7,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,157,4,2010,0,1,0,1,0
1467,20,1,0,3362.55717900422,7980,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,6,7,1992,2007,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,935,1,233,1168,1,0,0,0,1,0,1,0,1187,0,1,2,0,3,0,0,1,6,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,483,3,2010,0,1,0,1,0
1468,60,1,0,63,8402,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,6,5,1998,1998,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,789,789,0,1,0,0,1,0,1,676,1465,1,0,2,1,3,0,0,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,5,2010,0,1,0,1,0
1469,20,1,0,85,10176,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,7,5,1990,1990,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,637,1,663,1300,0,1,0,0,1,0,1,0,1341,0,1,1,1,2,0,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,1,192,2,2010,0,1,0,1,0
1470,20,1,0,70,8400,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,4,5,1970,1970,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,804,0,0,882,0,0,1,0,1,0,1,0,882,0,1,1,0,2,0,0,1,4,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,240,4,2010,0,1,0,1,0
