"Id","MSSubClass","MSZoning.RL","MSZoning.RM","LotFrontage","LotArea","LotShape.IR1","LotShape.Reg","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.Inside","Neighborhood.CollgCr","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.NAmes","Neighborhood.NridgHt","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.Somerst","Condition1.Feedr","Condition1.Norm","BldgType.1Fam","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1Story","HouseStyle.2Story","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle.Gable","RoofStyle.Hip","Exterior1st.HdBoard","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.VinylSd","Exterior1st.Wd.Sdng","Exterior2nd.HdBoard","Exterior2nd.MetalSd","Exterior2nd.Plywood","Exterior2nd.VinylSd","Exterior2nd.Wd.Sdng","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","MasVnrArea","ExterQual.Gd","ExterQual.TA","ExterCond.Gd","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","BsmtQual.Ex","BsmtQual.Gd","BsmtQual.TA","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinSF1","BsmtFinType2.Unf","BsmtUnfSF","TotalBsmtSF","HeatingQC.Ex","HeatingQC.Gd","HeatingQC.TA","CentralAir.N","CentralAir.Y","Electrical.FuseA","Electrical.SBrkr","X2ndFlrSF","GrLivArea","BsmtFullBath.0","BsmtFullBath.1","FullBath","HalfBath","BedroomAbvGr","KitchenQual.Ex","KitchenQual.Gd","KitchenQual.TA","TotRmsAbvGrd","Functional.Typ","Fireplaces","FireplaceQu.Gd","FireplaceQu.NONE","FireplaceQu.TA","GarageType.Attchd","GarageType.BuiltIn","GarageType.Detchd","GarageType.NONE","GarageFinish.Fin","GarageFinish.NONE","GarageFinish.RFn","GarageFinish.Unf","GarageCars","GarageQual.NONE","GarageQual.TA","GarageCond.NONE","GarageCond.TA","PavedDrive.N","PavedDrive.Y","WoodDeckSF","MoSold","YrSold","SaleType.New","SaleType.WD","SaleCondition.Abnorml","SaleCondition.Normal","SaleCondition.Partial","SalePrice"
1,60,1,0,65,8450,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,2003,2003,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,196,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,706,1,150,856,1,0,0,0,1,0,1,854,1710,0,1,2,1,3,0,1,0,8,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,2,2008,0,1,0,1,0,208500
2,20,1,0,80,9600,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,8,1976,1976,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,978,1,284,1262,1,0,0,0,1,0,1,0,1262,1,0,2,0,3,0,0,1,6,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,298,5,2007,0,1,0,1,0,181500
3,60,1,0,68,11250,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,2001,2002,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,162,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,486,1,434,920,1,0,0,0,1,0,1,866,1786,0,1,2,1,3,0,1,0,6,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,9,2008,0,1,0,1,0,223500
4,70,1,0,60,9550,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,1915,1970,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,216,1,540,756,0,1,0,0,1,0,1,756,1717,0,1,1,0,3,0,1,0,7,1,1,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,1,0,1,0,2,2006,0,1,1,0,0,140000
5,60,1,0,84,14260,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,5,2000,2000,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,350,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,655,1,490,1145,1,0,0,0,1,0,1,1053,2198,0,1,2,1,4,0,1,0,9,1,1,0,0,1,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,192,12,2008,0,1,0,1,0,250000
6,50,1,0,85,14115,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,5,1993,1995,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,732,1,64,796,1,0,0,0,1,0,1,566,1362,0,1,1,1,1,0,0,1,5,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,1,40,10,2009,0,1,0,1,0,143000
7,20,1,0,75,10084,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,8,5,2004,2005,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,186,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1369,1,317,1686,1,0,0,0,1,0,1,0,1694,0,1,2,0,3,0,1,0,7,1,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,255,8,2007,0,1,0,1,0,307000
8,60,1,0,4452.17882081081,10382,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,6,1973,1973,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,240,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,859,0,216,1107,1,0,0,0,1,0,1,983,2090,0,1,2,1,3,0,0,1,7,1,2,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,235,11,2009,0,1,0,1,0,2e+05
9,50,0,1,51,6120,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,5,1931,1950,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,952,952,0,1,0,0,1,0,0,752,1774,1,0,2,0,2,0,0,1,8,0,2,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,90,4,2008,0,1,1,0,0,129900
10,190,1,0,50,7420,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1939,1950,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,851,1,140,991,1,0,0,0,1,0,1,0,1077,0,1,1,0,2,0,0,1,5,1,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,2008,0,1,0,1,0,118000
